j_func,seed,ico_score,eig_0,eig_1,eig_2,eig_3,eig_4,eig_5,eig_6,eig_7,eig_8,eig_9,eig_10,eig_11
linf_exp,0,0.4211115022771694,1.0,0.06250068762295884,-0.03702670074943531,-0.05639909257625846,-0.09088629032807,-0.11571507983692217,-0.11969995586104937,-0.1231137631726655,-0.1245459037157106,-0.12877332937209945,-0.13216903672772942,-0.13417153528301828
linf_exp,1,0.40677375403356386,1.0,0.020087245901065694,-0.010359943339529188,-0.05927914510987689,-0.097311977276594,-0.09974615094744028,-0.11193216704386916,-0.11833818542002804,-0.12641918833292612,-0.12964201781846182,-0.13241188988494965,-0.13464658072739022
linf_exp,2,0.4238159421702403,1.0,0.06093525142042832,0.007894759682826304,-0.0801114230497999,-0.10235642378966747,-0.11194367244413736,-0.11800308362614532,-0.12368310562841563,-0.12726448397052345,-0.13163082380421867,-0.13498120027588406,-0.13885579451446275
linf_exp,3,0.4068207169195248,1.0,0.025014982319268502,-0.0064279835278739615,-0.08177199793126064,-0.08818023875973963,-0.09983373537258804,-0.11823583199427892,-0.11887884071314182,-0.12462990710165675,-0.12568646114648926,-0.12892196720926108,-0.1324480185629782
linf_exp,4,0.41859434191888145,1.0,0.04938794219953133,-0.0017365021218821953,-0.05920351969781549,-0.10349318617641337,-0.1151145379143722,-0.11771996602370598,-0.11844181064528968,-0.13080843112089285,-0.13212586373231971,-0.13408756006777922,-0.1366565646990613
linf_exp,5,0.41330019417466557,1.0,0.02620773620671563,0.008538364991496291,-0.049789804773561847,-0.10275494525380506,-0.10863856706906949,-0.11199807062818651,-0.12118402258818337,-0.1299701411896083,-0.1333089182552396,-0.13597040463565527,-0.14113122680490203
linf_exp,6,0.4099980730227488,1.0,0.036980088653915485,-0.029022572409672306,-0.0686016452031489,-0.09903950206994556,-0.1014226854816132,-0.11395960975345651,-0.11815823424909333,-0.12085646281534192,-0.12606985165792103,-0.12805139701492224,-0.13179812799880003
linf_exp,7,0.408618501607644,1.0,0.022844717806114773,-0.020489570632945212,-0.05101571856452017,-0.08833291981681599,-0.10619023136545366,-0.11297861489233603,-0.1176486307279167,-0.12527878962851954,-0.13130596759791546,-0.13436498270025485,-0.13523929187943692
linf_exp,8,0.4105078233435191,1.0,0.021888063056581204,-0.009072797296974989,-0.04239071177215893,-0.09424569754133591,-0.10783017150945201,-0.11887037289542861,-0.12191457112853586,-0.12667521255246358,-0.12856704343092468,-0.13313275618471815,-0.13918872874458868
linf_exp,9,0.42590122444984324,1.0,0.05891828386559718,-0.009937016586526267,-0.056819674626315486,-0.10186403484439306,-0.10435236929481376,-0.11629506864580913,-0.12079701411785963,-0.13308898342836303,-0.1346064621956858,-0.13902006492041818,-0.14213759520541314
linf_exp,10,0.41666715130161613,1.0,0.045762168576719324,-0.010348972398038935,-0.06405063043003009,-0.10353936253247177,-0.10717899826750969,-0.11743463466390293,-0.11853092571800063,-0.12433764009665534,-0.1307904699681069,-0.1342851399869739,-0.13526539451502925
linf_exp,11,0.4178799239054608,1.0,0.042927507556895866,-0.017812395043270403,-0.05191531508397561,-0.09682315671391578,-0.10632817285894666,-0.11770397122340892,-0.12255724102723725,-0.1283912194670839,-0.12891085652052486,-0.1324313231781719,-0.1400538564403612
linf_exp,12,0.41599270387781373,1.0,0.034693200497112095,0.0018694417837738888,-0.043201870822188265,-0.09981339698013039,-0.10931447428866106,-0.12353237172692594,-0.12741261211320803,-0.12871245893116734,-0.13028681995032096,-0.13410385536402605,-0.14018478210425767
linf_exp,13,0.4185338728765968,1.0,0.055092089628666664,-0.005241301351069428,-0.07574023222135336,-0.09673689081422573,-0.11350636690436443,-0.1187978587229299,-0.12019248280136427,-0.12722911414451743,-0.13123825685078216,-0.13275565382161839,-0.13365393199644227
linf_exp,14,0.4142470346143715,1.0,0.047333748906778,-0.019877852962757674,-0.07960020400581941,-0.0942846138615722,-0.10661943683077106,-0.11172572323455977,-0.1190164518669667,-0.12610150239127838,-0.12701639497552097,-0.13081884873934285,-0.13227272003818902
linf_exp,15,0.4114731778042028,1.0,0.03333872432363759,-0.016733983375348593,-0.059515738453593904,-0.09374186302469385,-0.11006230463923852,-0.11607396591867235,-0.12152298791694338,-0.12383753648359096,-0.12599733892999956,-0.13055406742354386,-0.13529893815801347
linf_exp,16,0.4259901057772437,1.0,0.07641167485876521,-0.021679389770925022,-0.08382050641139355,-0.10014091828335712,-0.10969629211880061,-0.11720149346287818,-0.12260115050526295,-0.1262349542831362,-0.12763005486656967,-0.1319147850025809,-0.1354921301538611
linf_exp,17,0.42357983266085286,1.0,0.05627806672078839,0.019777598556603708,-0.07657840638248899,-0.0952732865096744,-0.11704623398075209,-0.1215562859737685,-0.12463004073558327,-0.13135458370756314,-0.13239823755798952,-0.1378180242083822,-0.1394005662211893
linf_exp,18,0.4213779215914216,1.0,0.073898106665732,-0.034759397128217344,-0.08290505581831467,-0.09572714787217572,-0.11136569467280626,-0.11773351041109806,-0.1184346550722364,-0.12588937502432307,-0.12821983803942924,-0.1288808415550858,-0.12998259107204496
linf_exp,19,0.41882077674758666,1.0,0.06194912097298089,-0.04041049585476872,-0.07761363194351424,-0.10011185779028142,-0.10719873836971262,-0.11026868718396808,-0.11521128818531924,-0.12141478231986275,-0.12744790960979344,-0.1294201639128561,-0.13285156580290386
power,0,0.4042122377077141,1.0,0.05288657753527073,-0.04637958156388546,-0.09103517523397847,-0.1065298059342663,-0.11096803648653396,-0.11513549250804687,-0.11558114869890707,-0.11659406228237497,-0.11677808380962013,-0.11691570327319573,-0.11696948774446217
power,1,0.39197346443126446,1.0,0.015172190028130502,-0.015355113267290464,-0.09164349059549197,-0.10092674158646034,-0.10868144445677247,-0.11424779021959175,-0.1160771684070638,-0.11667805392893055,-0.11699839528430968,-0.11727673335277525,-0.11728725892944471
power,2,0.39778470245103426,1.0,0.03246759266841839,-0.016068597793980788,-0.0948409723902303,-0.1090183335349895,-0.11303976861918884,-0.11511234853834737,-0.11639230723441847,-0.11648989674777963,-0.11710633971364338,-0.11719048932486582,-0.11720853877097505
power,3,0.390618483857891,1.0,0.015974649770393926,-0.024933381379349768,-0.09599220136449695,-0.0987394693108084,-0.10853711406247216,-0.11318371802038643,-0.11385230105089367,-0.11484174136938842,-0.11525244941871768,-0.11526087232481555,-0.11538140146906539
power,4,0.40407358204160915,1.0,0.04656332506804088,-0.023775651326172733,-0.09034377136372329,-0.11091118801277994,-0.11230901115108606,-0.11574909350097806,-0.11753399838851089,-0.11845232936370947,-0.11906712925263047,-0.11919325699553204,-0.11922789571291803
power,5,0.4022605432387282,1.0,0.0317334897830227,0.0020908121087074008,-0.08761660569976261,-0.1026472771836782,-0.114463562212771,-0.11854047863915562,-0.12052814724426011,-0.12227293454274137,-0.1223548615011916,-0.12250879825909632,-0.12289163660907347
power,6,0.3913391060462885,1.0,0.023098260104810392,-0.037262557477249665,-0.09454630778634146,-0.10351087161049596,-0.11048908219720652,-0.11107392144064088,-0.11290943160040108,-0.113170494989845,-0.11329448355906922,-0.11339620466455078,-0.11344490477901033
power,7,0.3910736129768959,1.0,0.018496759360170305,-0.03247742478821966,-0.08930138656710246,-0.10214816501287736,-0.10810430109659681,-0.1131211822932395,-0.11414061239180956,-0.11468788133072802,-0.11482190382074191,-0.11484362856987444,-0.11485027348898091
power,8,0.39783429272884885,1.0,0.024882452857953197,-0.009224713102922437,-0.08301406937952766,-0.10397891814625151,-0.11286521516105183,-0.11718736918200547,-0.11870814278473678,-0.11956194232412044,-0.11991737640374577,-0.12014541336717628,-0.12027929300641477
power,9,0.4073828773354661,1.0,0.052134185518571706,-0.017433974552194136,-0.0915181126123497,-0.1111792584843326,-0.1118723080443924,-0.11874594233262942,-0.1189853670334533,-0.12035781851083105,-0.1204394551087519,-0.12071483165452682,-0.12088711718511
power,10,0.39824800382490344,1.0,0.03349969923961548,-0.022567922219982495,-0.09817224480874273,-0.104476828971961,-0.10818294319734009,-0.11526602298324856,-0.1162310826731093,-0.1167486544363551,-0.11720331672381397,-0.11728194304284659,-0.11736874018221588
power,11,0.39561025801091,1.0,0.0218771058822641,-0.009597829367173655,-0.08402562791236032,-0.10956106323607606,-0.11050754093025622,-0.11596906241948961,-0.11746620903995089,-0.11849021336658379,-0.11861859369361744,-0.11878785196547695,-0.11885311395127858
power,12,0.40111237944561917,1.0,0.03082285335890189,0.007146825024102279,-0.09053648562106999,-0.10811865230591489,-0.11542134093860751,-0.11715124675742192,-0.12041132982203959,-0.1212474273345754,-0.12148357129534941,-0.12170239407138114,-0.12189723023664438
power,13,0.40172225692409846,1.0,0.04272030663228734,-0.022463842085039435,-0.09922740298322638,-0.10605881288014389,-0.11168655438310102,-0.11629994978015366,-0.11652064825418686,-0.11719716748260071,-0.11765592018428743,-0.11778638736196931,-0.11782362123757957
power,14,0.39845644855055806,1.0,0.04273490307088269,-0.05262034191348836,-0.09374027574967254,-0.10392472984651262,-0.11102197762554777,-0.11201982230548506,-0.11311058738961338,-0.1138692043961786,-0.11412744248427634,-0.11414046113730966,-0.11416006022279819
power,15,0.3957231663019719,1.0,0.03050237264635181,-0.031126388240136495,-0.09593090518406315,-0.10238641288683827,-0.1117020096753452,-0.11325695591899085,-0.11424656413222356,-0.11512123496604006,-0.11550792971298832,-0.11560325904923596,-0.11562071288048972
power,16,0.402648852046115,1.0,0.049592549656820896,-0.03822049188013534,-0.09932964830370207,-0.10672585939471,-0.1099626684303233,-0.11532778472974119,-0.11556849433142946,-0.11573016389106434,-0.11612403165901318,-0.11628063914405802,-0.11632276789264405
power,17,0.40610349732927364,1.0,0.046385604092046694,-0.006280714831495592,-0.10173004924603474,-0.10385842175409905,-0.11095884200193305,-0.1195033319494636,-0.11972507166993178,-0.120267430242512,-0.12112261761086036,-0.12145203549558964,-0.1214870892901275
power,18,0.40611428870464994,1.0,0.06569327174397009,-0.06901524344069598,-0.09393414893537887,-0.10708312171100774,-0.11093830750421763,-0.11348921910774001,-0.11354120328443254,-0.11427584268539856,-0.11440330668315397,-0.11447688455924418,-0.11453599383270022
power,19,0.3930384570565709,1.0,0.03213999858968501,-0.05434116686411994,-0.09632380140463694,-0.10391178047604055,-0.10865005602802724,-0.11059786081191639,-0.11123826114255855,-0.11157988465999505,-0.11177724877673974,-0.11185886998106596,-0.11186106844458431
