step,undamped_mean,undamped_std,adaptive_mean,adaptive_std
0,0.5999999999999999,1.1102230246251565e-16,0.5999999999999999,1.1102230246251565e-16
1,0.6695999999999996,3.3306690738754696e-16,0.6695999999999996,3.3306690738754696e-16
2,0.7333535999999996,3.3306690738754696e-16,0.7333535999999996,3.3306690738754696e-16
3,0.7917518975999998,2.220446049250313e-16,0.7917518975999998,2.220446049250313e-16
4,0.8452447382016002,2.220446049250313e-16,0.8452447382016002,2.220446049250313e-16
5,0.8942441801926652,3.3306690738754696e-16,0.8942441801926652,3.3306690738754696e-16
6,0.9391276690564819,3.3306690738754696e-16,0.9391276690564819,3.3306690738754696e-16
7,0.9802409448557372,1.1102230246251565e-16,0.9802409448557372,1.1102230246251565e-16
8,1.0179007054878553,0.0,1.0179007054878553,0.0
9,1.0523970462268755,0.0,1.0136045361707704,4.440892098500626e-16
10,1.0839956943438183,4.440892098500626e-16,1.010339447489785,0.0
11,1.1129400560189366,4.440892098500626e-16,1.0078579800922365,2.220446049250313e-16
12,1.139453091313346,2.220446049250313e-16,1.0059720648701,2.220446049250313e-16
13,1.1637390316430254,2.220446049250313e-16,1.004538769301276,0.0
14,1.1859849529850106,4.440892098500626e-16,1.0034494646689693,4.440892098500626e-16
15,1.20636221693427,0.0,1.0026215931484175,4.440892098500626e-16
16,1.2250277907117915,2.220446049250313e-16,1.001992410792797,2.220446049250313e-16
17,1.242125456292001,2.220446049250313e-16,1.0015142322025254,2.220446049250313e-16
18,1.2577869179634722,4.440892098500626e-16,1.00115081647392,4.440892098500626e-16
19,1.2721328168545407,2.220446049250313e-16,1.0008746205201788,0.0
20,1.285273660238759,4.440892098500626e-16,1.0006647115953355,4.440892098500626e-16
21,1.2973106727787036,2.220446049250313e-16,1.0005051808124557,2.220446049250313e-16
22,1.308336576265293,2.220446049250313e-16,1.0003839374174661,0.0
23,1.3184363038590083,2.220446049250313e-16,1.000291792437274,2.220446049250313e-16
24,1.3276876543348517,2.220446049250313e-16,1.0002217622523282,2.220446049250313e-16
25,1.3361618913707245,4.440892098500626e-16,1.0001685393117694,2.220446049250313e-16
26,1.343924292495583,2.220446049250313e-16,1.000128089876945,0.0
27,1.3510346519259537,4.440892098500626e-16,1.0000973483064786,4.440892098500626e-16
28,1.3575477411641748,6.661338147750939e-16,1.0000739847129234,0.0
29,1.3635137309063834,0.0,1.0000562283818222,4.440892098500626e-16
30,1.3689785775102477,4.440892098500626e-16,1.0000427335701843,2.220446049250313e-16
31,1.3739843769993871,6.661338147750939e-16,1.0000324775133402,0.0
32,1.3785696893314385,4.440892098500626e-16,1.0000246829101385,2.220446049250313e-16
33,1.382769835427598,6.661338147750939e-16,1.0000187590117056,2.220446049250313e-16
34,1.3866171692516789,2.220446049250313e-16,1.000014256848896,0.0
35,1.390141327034538,0.0,1.000010835205161,0.0
36,1.3933694555636367,2.220446049250313e-16,1.000008234755923,4.440892098500626e-16
37,1.396326421296291,4.440892098500626e-16,1.000006258414501,0.0
38,1.3990350019074034,4.440892098500626e-16,1.0000047563950207,0.0
39,1.401516061747181,2.220446049250313e-16,1.0000036148602158,0.0
40,1.4037887125604174,4.440892098500626e-16,1.0000027472937636,4.440892098500626e-16
41,1.4058704607053434,6.661338147750939e-16,1.0000020879432607,0.0
42,1.4077773420060933,6.661338147750939e-16,1.0000015868368781,0.0
43,1.4095240452775821,0.0,1.0000012059960273,0.0
44,1.4111240254742652,0.0,1.000000916556981,2.220446049250313e-16
45,1.4125896073344262,6.661338147750939e-16,1.0000006965833055,0.0
