seed,final_states,final_avg_p,avg_proto_distance,threshold,cluster_count,largest_cluster,mean_cluster_size,isolated_states,strong_joins,top_sizes
0,120,0.10459920264368162,1.855901888942641,0.15,1,120,120,0,4467,120
0,120,0.10459920264368162,1.855901888942641,0.25,2,119,60,1,3350,119 1
0,120,0.10459920264368162,1.855901888942641,0.4,9,102,13.333333333333334,5,1875,102 6 4 3 1 1 1 1 1
0,120,0.10459920264368162,1.855901888942641,0.6,22,95,5.454545454545454,17,696,95 2 2 2 2 1 1 1 1 1
0,120,0.10459920264368162,1.855901888942641,0.8,45,28,2.6666666666666665,33,129,28 22 8 7 4 4 3 3 2 2
1,120,0.26618008111512126,1.4599912433402584,0.15,1,120,120,0,5143,120
1,120,0.26618008111512126,1.4599912433402584,0.25,2,117,60,0,4895,117 3
1,120,0.26618008111512126,1.4599912433402584,0.4,12,101,10,6,4234,101 4 3 2 2 2 1 1 1 1
1,120,0.26618008111512126,1.4599912433402584,0.6,17,99,7.0588235294117645,12,2507,99 3 2 2 2 1 1 1 1 1
1,120,0.26618008111512126,1.4599912433402584,0.8,23,95,5.217391304347826,19,658,95 2 2 2 1 1 1 1 1 1
2,120,0.10110947046759358,1.7247206502702606,0.15,1,120,120,0,4660,120
2,120,0.10110947046759358,1.7247206502702606,0.25,2,115,60,0,3238,115 5
2,120,0.10110947046759358,1.7247206502702606,0.4,5,113,24,3,1679,113 4 1 1 1
2,120,0.10110947046759358,1.7247206502702606,0.6,11,107,10.909090909090908,7,561,107 2 2 2 1 1 1 1 1 1
2,120,0.10110947046759358,1.7247206502702606,0.8,52,15,2.3076923076923075,36,119,15 14 14 6 5 5 4 3 3 3
3,120,0.07447619235783648,1.7215032599442972,0.15,1,120,120,0,4473,120
3,120,0.07447619235783648,1.7215032599442972,0.25,1,120,120,0,3019,120
3,120,0.07447619235783648,1.7215032599442972,0.4,4,113,30,1,1548,113 4 2 1
3,120,0.07447619235783648,1.7215032599442972,0.6,15,102,8,10,520,102 2 2 2 2 1 1 1 1 1
3,120,0.07447619235783648,1.7215032599442972,0.8,53,16,2.2641509433962264,34,95,16 14 8 8 5 5 4 3 3 2
4,33,0.014845571096208633,3.164260529686066,0.15,1,33,33,0,101,33
4,33,0.014845571096208633,3.164260529686066,0.25,4,28,8.25,1,44,28 2 2 1
4,33,0.014845571096208633,3.164260529686066,0.4,18,8,1.8333333333333333,12,18,8 4 3 2 2 2 1 1 1 1
4,33,0.014845571096208633,3.164260529686066,0.6,28,3,1.1785714285714286,25,6,3 3 2 1 1 1 1 1 1 1
4,33,0.014845571096208633,3.164260529686066,0.8,30,3,1.1,28,3,3 2 1 1 1 1 1 1 1 1
5,120,0.11134645993362068,1.7309293885540447,0.15,1,120,120,0,4755,120
5,120,0.11134645993362068,1.7309293885540447,0.25,3,114,40,0,3491,114 4 2
5,120,0.11134645993362068,1.7309293885540447,0.4,7,107,17.142857142857142,3,1960,107 4 4 2 1 1 1
5,120,0.11134645993362068,1.7309293885540447,0.6,16,102,7.5,12,702,102 2 2 2 1 1 1 1 1 1
5,120,0.11134645993362068,1.7309293885540447,0.8,48,47,2.5,34,132,47 8 4 4 3 3 3 2 2 2
6,32,0.012877273914535926,3.089116644371404,0.15,1,32,32,0,99,32
6,32,0.012877273914535926,3.089116644371404,0.25,5,25,6.4,2,48,25 3 2 1 1
6,32,0.012877273914535926,3.089116644371404,0.4,15,10,2.1333333333333333,9,22,10 5 2 2 2 2 1 1 1 1
6,32,0.012877273914535926,3.089116644371404,0.6,28,2,1.1428571428571428,24,4,2 2 2 2 1 1 1 1 1 1
6,32,0.012877273914535926,3.089116644371404,0.8,31,2,1.032258064516129,30,1,2 1 1 1 1 1 1 1 1 1
7,29,0.015838361960728006,3.1280429699418772,0.15,1,29,29,0,74,29
7,29,0.015838361960728006,3.1280429699418772,0.25,2,25,14.5,0,35,25 4
7,29,0.015838361960728006,3.1280429699418772,0.4,15,4,1.9333333333333333,8,16,4 4 3 3 3 2 2 1 1 1
7,29,0.015838361960728006,3.1280429699418772,0.6,24,3,1.2083333333333333,20,5,3 2 2 2 1 1 1 1 1 1
7,29,0.015838361960728006,3.1280429699418772,0.8,29,1,1,29,0,1 1 1 1 1 1 1 1 1 1
8,120,0.24644785748652398,1.0632605549637448,0.15,2,118,60,0,6172,118 2
8,120,0.24644785748652398,1.0632605549637448,0.25,2,118,60,0,5554,118 2
8,120,0.24644785748652398,1.0632605549637448,0.4,5,114,24,2,4160,114 2 2 1 1
8,120,0.24644785748652398,1.0632605549637448,0.6,10,109,12,7,1859,109 2 2 1 1 1 1 1 1 1
8,120,0.24644785748652398,1.0632605549637448,0.8,16,103,7.5,13,400,103 2 2 1 1 1 1 1 1 1
9,120,0.0606252506663183,1.7334066797876075,0.15,1,120,120,0,4361,120
9,120,0.0606252506663183,1.7334066797876075,0.25,1,120,120,0,2783,120
9,120,0.0606252506663183,1.7334066797876075,0.4,2,119,60,1,1390,119 1
9,120,0.0606252506663183,1.7334066797876075,0.6,9,111,13.333333333333334,7,442,111 2 1 1 1 1 1 1 1
9,120,0.0606252506663183,1.7334066797876075,0.8,56,10,2.142857142857143,39,98,10 9 8 8 7 6 5 5 4 3
10,120,0.10601379012483197,1.750797285260363,0.15,1,120,120,0,4807,120
10,120,0.10601379012483197,1.750797285260363,0.25,2,116,60,0,3674,116 4
10,120,0.10601379012483197,1.750797285260363,0.4,10,104,12,5,2105,104 4 3 2 2 1 1 1 1 1
10,120,0.10601379012483197,1.750797285260363,0.6,18,100,6.666666666666667,14,777,100 2 2 2 1 1 1 1 1 1
10,120,0.10601379012483197,1.750797285260363,0.8,38,69,3.1578947368421053,31,163,69 8 3 3 2 2 2 1 1 1
11,28,0.014212778796261096,2.930480287429867,0.15,1,28,28,0,82,28
11,28,0.014212778796261096,2.930480287429867,0.25,3,22,9.333333333333334,0,45,22 3 3
11,28,0.014212778796261096,2.930480287429867,0.4,13,5,2.1538461538461537,6,18,5 4 3 3 3 2 2 1 1 1
11,28,0.014212778796261096,2.930480287429867,0.6,23,2,1.2173913043478262,18,5,2 2 2 2 2 1 1 1 1 1
11,28,0.014212778796261096,2.930480287429867,0.8,28,1,1,28,0,1 1 1 1 1 1 1 1 1 1
12,27,0.015077312857921032,3.040790176640436,0.15,1,27,27,0,59,27
12,27,0.015077312857921032,3.040790176640436,0.25,4,22,6.75,1,36,22 2 2 1
12,27,0.015077312857921032,3.040790176640436,0.4,13,4,2.076923076923077,5,16,4 4 3 3 2 2 2 2 1 1
12,27,0.015077312857921032,3.040790176640436,0.6,21,3,1.2857142857142858,17,7,3 3 2 2 1 1 1 1 1 1
12,27,0.015077312857921032,3.040790176640436,0.8,26,2,1.0384615384615385,25,1,2 1 1 1 1 1 1 1 1 1
13,33,0.014969941605300649,3.1578302511920544,0.15,1,33,33,0,91,33
