seed,final_states,track_count,mean_lifetime,max_lifetime,stable_track_count,mean_track_size
0,120,145,56.275862068965516,300,107,1.8490600232265144
1,120,136,59.00735294117647,300,108,1.953660400428044
2,120,132,49.583333333333336,300,98,1.9683406422666199
3,120,130,46.46153846153846,300,86,1.9713887393332379
4,33,124,64.2741935483871,300,97,1.1526261283503267
5,120,146,47.054794520547944,300,103,1.8468920701070948
6,32,136,62.05882352941177,300,90,1.143750937847699
7,29,122,68.68852459016394,300,86,1.0817447297455718
8,120,131,58.93129770992366,300,100,1.9601819273805983
9,120,125,34.32,300,82,2.1469234514724835
10,120,128,57.34375,300,100,1.939128428094836
11,28,121,64.42148760330579,300,97,1.0996194780016726
12,27,129,60.89147286821706,300,99,1.129115534296189
13,33,141,58.04964539007092,300,105,1.15009466518116
14,32,128,66.640625,300,96,1.1258370448409782
15,120,130,48.53846153846154,300,87,2.101016166185121
16,120,102,54.754901960784316,300,79,2.304723442916661
17,29,120,70.625,300,91,1.0958659959981318
18,31,122,66.92622950819673,300,97,1.168143557069158
19,34,133,71.2406015037594,300,103,1.094925970306099
20,29,124,59.475806451612904,300,93,1.1159432358768702
21,39,146,60.68493150684932,300,113,1.1398384301834923
22,33,123,72.27642276422765,300,93,1.139634557111972
23,28,121,69.33884297520662,300,91,1.1171589620002174
24,31,145,55.44827586206897,300,113,1.118692028048177
25,120,116,64.22413793103448,300,88,1.9811575499220728
26,120,143,48.28671328671329,280,106,1.8394704973968878
27,24,133,58.30827067669173,300,99,1.146602054334426
28,28,135,56.629629629629626,300,105,1.140817740255804
29,35,147,60,300,108,1.1437499304866592
30,34,136,63.27205882352941,300,105,1.1398309539499343
31,120,126,59.84126984126984,300,96,1.9978146080915828
32,120,130,65.11538461538461,300,103,1.845662334063672
33,29,134,62.798507462686565,300,98,1.1153918260994888
34,35,122,74.59016393442623,300,89,1.1198187767191163
35,120,126,48.492063492063494,275,96,2.069238974399073
36,36,130,70.11538461538461,300,92,1.1131604944093858
37,34,132,62.916666666666664,300,105,1.1294789005645935
38,29,152,53.75,300,121,1.1625682619180837
39,27,131,64.46564885496183,300,97,1.121069899169056
40,120,136,26.801470588235293,275,81,2.2791646425044054
41,120,136,57.5735294117647,300,107,1.8436638043210243
42,33,142,60.2112676056338,300,106,1.1898385057889025
43,36,132,65.53030303030303,300,94,1.1666535610770248
44,31,120,73.70833333333333,300,93,1.0937486549003317
45,31,126,65.03968253968254,300,95,1.137905051510419
46,34,141,59.645390070921984,300,95,1.1780227834025363
47,30,127,63.46456692913386,300,95,1.1131287719066858
48,36,130,75.15384615384616,300,107,1.1034382975112391
49,29,119,67.73109243697479,300,87,1.1191630152094005
