track_id,start_step,end_step,lifetime,updates,mean_size,max_size,mean_overlap
20,0,5,10,2,1,1,1.0
34,10,10,5,1,1,1,0.0
24,0,15,20,4,1,1,1.0
26,0,15,20,4,1,1,1.0
17,0,20,25,5,1,1,1.0
36,20,20,5,1,1,1,0.0
35,15,20,10,2,1,1,1.0
37,25,25,5,1,1,1,0.0
33,0,25,30,6,1,1,1.0
39,30,30,5,1,1,1,0.0
19,0,35,40,8,1,1,1.0
3,0,35,40,8,1.125,2,0.9285714285714286
40,35,35,5,1,1,1,0.0
41,40,40,5,1,1,1,0.0
29,0,40,45,9,1,1,1.0
30,0,40,45,9,1,1,1.0
42,45,45,5,1,1,1,0.0
44,45,45,5,1,1,1,0.0
45,45,45,5,1,1,1,0.0
46,45,45,5,1,1,1,0.0
28,0,50,55,11,1,1,1.0
4,0,55,60,12,1.0833333333333333,2,0.9090909090909091
43,45,55,15,3,1,1,1.0
22,0,55,60,12,1.8333333333333333,2,0.9090909090909091
51,55,55,5,1,1,1,0.0
32,0,55,60,12,1,1,1.0
14,0,60,65,13,1.2307692307692308,2,0.8333333333333334
54,60,60,5,1,1,1,0.0
23,0,65,70,14,1,1,1.0
18,0,70,75,15,1,1,1.0
58,70,70,5,1,1,1,0.0
50,55,75,25,5,1,1,1.0
0,0,75,80,16,2.3125,4,0.8388888888888889
60,70,75,10,2,1,1,1.0
64,80,80,5,1,1,1,0.0
6,0,85,90,18,1.6111111111111112,2,0.8823529411764706
65,85,85,5,1,1,1,0.0
62,80,85,10,2,1,1,1.0
66,85,90,10,2,1,1,1.0
59,70,90,25,5,1,1,1.0
55,65,95,35,7,1.1428571428571428,2,0.9166666666666666
49,55,95,45,9,1,1,1.0
69,95,95,5,1,1,1,0.0
68,95,100,10,2,1,1,1.0
27,0,100,105,21,1,1,1.0
52,60,105,50,10,3.1,4,0.65
38,30,105,80,16,1.25,2,0.9333333333333333
72,100,105,10,2,1,1,1.0
76,110,110,5,1,1,1,0.0
77,110,110,5,1,1,1,0.0
78,110,110,5,1,1,1,0.0
75,110,115,10,2,1,1,1.0
71,100,115,20,4,1,1,1.0
63,80,120,45,9,1,1,1.0
47,50,125,80,16,1.5625,3,0.7888888888888889
74,105,125,25,5,1,1,1.0
81,115,125,15,3,1,1,1.0
84,130,130,5,1,1,1,0.0
85,130,135,10,2,1,1,1.0
79,110,140,35,7,1,1,1.0
86,130,145,20,4,1,1,1.0
89,140,150,15,3,1,1,1.0
92,145,150,10,2,1,1,1.0
25,0,150,155,31,1,1,1.0
95,150,150,5,1,1,1,0.0
53,60,155,100,20,1,1,1.0
7,0,160,165,33,1.4545454545454546,3,0.9270833333333334
73,105,160,60,12,1.6666666666666667,2,0.8181818181818182
96,160,160,5,1,1,1,0.0
90,140,160,25,5,1,1,1.0
70,95,165,75,15,2.933333333333333,5,0.8464285714285714
98,170,170,5,1,25,25,0.0
100,170,170,5,1,1,1,0.0
94,150,170,25,5,1,1,1.0
99,170,175,10,2,1,1,1.0
16,0,175,180,36,1,1,1.0
13,0,180,185,37,1.3783783783783783,3,0.8472222222222222
31,0,180,185,37,1,1,1.0
105,185,185,5,1,1,1,0.0
11,0,190,195,39,1.1282051282051282,3,0.9605263157894737
101,170,190,25,5,1,1,1.0
48,50,190,145,29,1,1,1.0
82,115,190,80,16,1,1,1.0
109,200,200,5,1,1,1,0.0
108,190,200,15,3,1,1,1.0
56,65,205,145,29,1,1,1.0
87,130,210,85,17,1,1,1.0
112,200,210,15,3,1,1,1.0
114,215,215,5,1,1,1,0.0
113,210,215,10,2,1,1,1.0
110,200,220,25,5,1,1,1.0
115,215,220,10,2,1,1,1.0
116,220,225,10,2,1,1,1.0
117,225,225,5,1,1,1,0.0
118,230,230,5,1,1,1,0.0
80,115,230,120,24,1,1,1.0
106,190,235,50,10,1.2,2,0.7777777777777778
122,235,235,5,1,1,1,0.0
97,165,235,75,15,1,1,1.0
123,235,235,5,1,1,1,0.0
120,230,235,10,2,1,1,1.0
124,235,235,5,1,1,1,0.0
121,235,240,10,2,1,1,1.0
95,160,240,85,17,1,1,1.0
126,245,245,5,1,1,1,0.0
128,245,245,5,1,1,1,0.0
130,250,250,5,1,1,1,0.0
127,245,250,10,2,1,1,1.0
9,0,255,260,52,1.0576923076923077,2,0.9607843137254902
135,255,255,5,1,1,1,0.0
129,250,260,15,3,1,1,1.0
133,255,260,10,2,1,1,1.0
93,145,270,130,26,1.8846153846153846,3,0.82
2,0,270,275,55,1.690909090909091,3,0.8734567901234568
61,75,270,200,40,1,1,1.0
137,270,275,10,2,1.5,2,0.5
138,270,275,10,2,1,1,1.0
139,280,280,5,1,1,1,0.0
67,85,285,205,41,1.024390243902439,2,0.975
21,0,290,295,59,1.1016949152542372,2,0.9137931034482759
137,290,290,5,1,1,1,0.0
102,175,295,125,25,87.6,90,0.9901460646435947
57,65,295,235,47,1.1914893617021276,3,0.9311594202898551
88,135,295,165,33,1.0909090909090908,2,0.921875
91,145,295,155,31,1.4838709677419355,2,0.8833333333333333
119,230,295,70,14,1.1428571428571428,2,0.9615384615384616
15,0,295,300,60,1.4666666666666666,3,0.9293785310734464
107,190,295,110,22,1.8181818181818181,3,0.8015873015873016
132,255,295,45,9,1.7777777777777777,3,0.8541666666666666
5,0,295,300,60,1.4833333333333334,3,0.9209039548022598
10,0,295,300,60,1.4166666666666667,3,0.9096045197740112
1,0,295,300,60,1.6833333333333333,3,0.9067796610169492
8,0,295,300,60,1.35,4,0.8898305084745762
135,265,295,35,7,1.4285714285714286,2,0.8333333333333334
12,0,295,300,60,1.0166666666666666,2,0.9830508474576272
103,180,295,120,24,1,1,1.0
111,200,295,100,20,1.05,2,0.9473684210526315
83,120,295,180,36,1,1,1.0
138,295,295,5,1,1,1,0.0
131,250,295,50,10,1,1,1.0
104,180,295,120,24,1,1,1.0
139,295,295,5,1,1,1,0.0
125,240,295,60,12,1.5833333333333333,2,0.8181818181818182
134,255,295,45,9,1,1,1.0
