seed,final_states,stable_tracks,network_nodes,network_edges,component_count,largest_component,mean_degree,max_degree,mean_edge_K,final_avg_memory,final_max_memory
0,120,32,32,42,6,15,2.625,6,0.395780070214831,0.36018125201567924,0.5047668567422962
1,40,31,31,50,4,15,3.225806451612903,6,0.4080322579641818,0.36761132757783027,0.5047668567422962
2,120,30,30,40,6,11,2.6666666666666665,6,0.4107289776332081,0.40038926163704014,0.5047668567422962
3,120,29,29,39,8,9,2.689655172413793,6,0.42812132801215413,0.40701879477578246,0.5047668567422962
4,120,29,29,38,6,14,2.6206896551724137,7,0.41042213302361436,0.3786627016273522,0.5047668567422962
5,120,27,27,26,10,9,1.9259259259259258,5,0.41761585127950956,0.37510804438620604,0.5047668567422962
6,120,27,27,25,7,7,1.8518518518518519,5,0.43524271265869424,0.3795238783846473,0.5047668567422962
7,120,33,33,52,6,18,3.1515151515151514,7,0.37151645603819716,0.19538165239496597,0.5047668567422962
8,120,31,31,48,5,13,3.096774193548387,6,0.40105854999288854,0.34416875673091,0.5047668567422962
9,120,21,21,14,9,6,1.3333333333333333,3,0.44912641725102853,0.43754868726038804,0.5047668567422962
10,120,32,32,42,4,16,2.625,5,0.37469589683166715,0.3457737350367505,0.5047668567422962
11,120,34,34,45,10,8,2.6470588235294117,5,0.4683106125446591,0.3424037323245275,0.5047668567422962
12,120,35,35,49,2,34,2.8,5,0.3881155682802017,0.40353337168844206,0.5047668567422962
13,120,29,29,33,9,8,2.2758620689655173,4,0.4099582053868319,0.26787378175143284,0.5047668567422962
14,120,34,34,59,5,25,3.4705882352941178,7,0.40205162057660626,0.3971881950203033,0.5047668567422962
15,120,33,33,48,6,14,2.909090909090909,6,0.40181290948493903,0.21344471635346104,0.5047668567422962
16,120,34,34,42,8,13,2.4705882352941178,6,0.43613174754953826,0.28716596912238646,0.5047668567422962
17,120,35,35,54,5,28,3.085714285714286,7,0.42240450081521225,0.39762851962542123,0.5047668567422962
18,120,33,33,43,9,15,2.606060606060606,7,0.40455896621040816,0.40727222822284836,0.5047668567422962
19,120,35,35,38,9,15,2.1714285714285713,6,0.40126451411456565,0.31819839874642597,0.5047668567422962
20,120,32,32,36,7,18,2.25,5,0.38260804715098273,0.1901298586633262,0.5047668567422962
21,120,33,33,39,5,14,2.3636363636363638,5,0.38619816542530383,0.3935386424714424,0.5047668567422962
22,120,32,32,46,6,19,2.875,7,0.3724224855355113,0.32017455097981123,0.5047668567422962
23,120,30,30,39,8,15,2.6,6,0.42858111610062044,0.38810037812291476,0.5047668567422962
24,120,28,28,28,6,15,2,4,0.3859402127927806,0.17627506406744403,0.5047668567422962
25,120,35,35,59,3,30,3.3714285714285714,7,0.42796636429254903,0.36434776525471846,0.5047668567422962
26,39,27,27,34,6,9,2.5185185185185186,6,0.3660239356605214,0.2983845741656739,0.5047668567422962
27,120,30,30,30,8,9,2,4,0.40126342204028603,0.2581788728278241,0.5047668567422962
28,120,26,26,27,5,13,2.076923076923077,4,0.3811134442775187,0.38446991637192207,0.5047668567422962
29,120,30,30,35,5,15,2.3333333333333335,4,0.4011449900984559,0.34044995048003196,0.5047668567422962
30,120,37,37,65,7,11,3.5135135135135136,8,0.4164867032739182,0.32712450406474763,0.5047668567422962
31,120,25,25,23,5,18,1.84,4,0.37129348678226004,0.41164696731651584,0.5047668567422962
32,120,27,27,29,6,17,2.1481481481481484,5,0.357804497250284,0.4081514014562231,0.5004131676384612
33,120,27,27,24,8,6,1.7777777777777777,3,0.5222919055408651,0.2145235501120279,0.5047668567422962
34,120,35,35,49,6,16,2.8,7,0.416804651546213,0.20058870649385233,0.5047668567422962
35,120,37,37,53,9,14,2.864864864864865,8,0.4945597121812094,0.23919396008449764,0.5047668567422962
36,120,37,37,58,4,32,3.135135135135135,7,0.4100140789572254,0.35194911938041507,0.5047668567422962
37,120,33,33,54,6,11,3.272727272727273,6,0.3939920454502483,0.21702131828675084,0.5047668567422962
38,120,30,30,31,6,12,2.066666666666667,4,0.39764923639199523,0.3709839679049248,0.5047668567422962
39,40,36,36,42,6,15,2.3333333333333335,5,0.41867042043406555,0.36098684963954797,0.5047668567422962
40,120,25,25,29,7,8,2.32,6,0.42370419511810803,0.4226691705131157,0.5047668567422962
41,120,31,31,32,6,10,2.064516129032258,4,0.4161614016678616,0.30037189154280514,0.5047668567422962
42,120,29,29,33,6,9,2.2758620689655173,4,0.4468581623765023,0.39847599320223415,0.5047668567422962
43,120,39,39,47,8,17,2.41025641025641,6,0.39184378131715486,0.2672115665855857,0.5047668567422962
44,120,32,32,39,5,11,2.4375,4,0.42565338039304623,0.18946169765953944,0.5047668567422962
45,120,32,32,45,6,12,2.8125,6,0.3791172017617809,0.3574354757289206,0.5047668567422962
46,120,24,24,18,10,9,1.5,4,0.3931595809878141,0.42681768934413405,0.5047668567422962
47,120,30,30,43,6,12,2.8666666666666667,5,0.436965699612374,0.23523439176949804,0.5047668567422962
48,120,29,29,34,6,15,2.3448275862068964,4,0.38145881789537794,0.3740720172860922,0.5047668567422962
49,120,27,27,22,10,5,1.6296296296296295,4,0.3966169219951791,0.3841676914963692,0.5047668567422962
