a,b,K
27,93,0.2534689231691388
25,16,0.3650623096698192
25,111,0.3650623096698192
53,48,0.6486202172906899
53,2,0.2905669028050299
53,107,0.6486202172906899
53,1,0.33855513362559564
7,9,0.3383642372118981
7,93,0.27401214006253477
7,102,0.3676990859416293
13,93,0.44320693286692414
13,61,0.2523750062791853
31,21,0.2508291612789684
31,103,0.43674487406921325
31,83,0.31913615050289523
11,80,0.45194124880609327
11,57,0.33809675292576596
11,91,0.25774973062375167
11,1,0.40530189666862865
48,2,0.447976944071738
48,107,0.6486202172906899
80,57,0.6221483560714793
80,91,0.27456456748446995
80,1,0.3400113822455798
80,8,0.45194124880609327
80,83,0.2997008232599569
9,93,0.35728292231833203
93,104,0.2534689231691388
2,107,0.36927192343838394
61,15,0.8126473401823286
61,10,0.3348775696124369
67,5,0.338808269994569
21,88,0.6864168761386508
21,103,0.5743150662352553
57,1,0.32501051433584777
57,8,0.33809675292576596
57,83,0.31704334607044504
88,103,0.48426730995991074
91,8,0.25774973062375167
15,10,0.3587533183798256
107,1,0.279074418981354
1,8,0.40530189666862865
