i,j,a,b,K,d
0,12,27,93,0.2534689231691388,1.372514054514558
1,4,25,16,0.3650623096698192,1.0076872285450205
1,29,25,111,0.3650623096698192,1.0076872285450205
2,8,53,48,0.6486202172906899,0.43290791493376796
2,13,53,2,0.2905669028050299,1.2359214269508283
2,22,53,107,0.6486202172906899,0.43290791493376796
2,25,53,1,0.33855513362559564,1.0830683235984844
3,11,7,9,0.3383642372118981,1.0836323388327416
3,12,7,93,0.27401214006253477,1.294582866778012
3,17,7,102,0.3676990859416293,1.000490376558802
5,12,13,93,0.44320693286692414,0.8137185009211294
5,14,13,61,0.2523750062791853,1.3768391774687583
6,16,31,21,0.2508291612789684,1.3829832039404188
6,28,31,103,0.43674487406921325,0.8284060665698425
6,30,31,83,0.31913615050289523,1.142137463167937
7,10,11,80,0.45194124880609327,0.7942030881155981
7,18,11,57,0.33809675292576596,1.0844231732015308
7,20,11,91,0.25774973062375167,1.3557662011923
7,25,11,1,0.40530189666862865,0.9031230656928266
8,13,48,2,0.447976944071738,0.8030135120170603
8,22,48,107,0.6486202172906899,0.43290791493376796
10,18,80,57,0.6221483560714793,0.474576700098667
10,20,80,91,0.27456456748446995,1.292568827169432
10,25,80,1,0.3400113822455798,1.0787761847393968
10,26,80,8,0.45194124880609327,0.7942030881155981
10,30,80,83,0.2997008232599569,1.2049705577164893
11,12,9,93,0.35728292231833203,1.0292273115732808
12,31,93,104,0.2534689231691388,1.372514054514558
13,22,2,107,0.36927192343838394,0.9962219864465293
14,21,61,15,0.8126473401823286,0.20745803945580843
14,24,61,10,0.3348775696124369,1.0939902777987283
15,23,67,5,0.338808269994569,1.082320906836951
16,19,21,88,0.6864168761386508,0.376270144661543
16,28,21,103,0.5743150662352553,0.5545771373705762
18,25,57,1,0.32501051433584777,1.1238977453730994
18,26,57,8,0.33809675292576596,1.0844231732015308
18,30,57,83,0.31704334607044504,1.1487167760601271
19,28,88,103,0.48426730995991074,0.7251182314177207
20,26,91,8,0.25774973062375167,1.3557662011923
21,24,15,10,0.3587533183798256,1.0251202621118505
22,25,107,1,0.279074418981354,1.2762767980279535
25,26,1,8,0.40530189666862865,0.9031230656928266
