j_name,runs,mean_final_states,std_final_states,mean_stable_tracks,std_stable_tracks,mean_node_count,std_node_count,mean_edge_count,std_edge_count,mean_density,std_density,mean_component_count,std_component_count,mean_largest_component,std_largest_component,mean_mean_degree,std_mean_degree,mean_max_degree,std_max_degree,mean_degree_std,std_degree_std,mean_mean_edge_K,std_mean_edge_K,mean_mean_edge_d,std_mean_edge_d,mean_mean_geodesic_d,std_mean_geodesic_d,mean_clustering_coefficient,std_clustering_coefficient,mean_triangle_count,std_triangle_count,mean_effective_dim,std_effective_dim,mean_gromov_delta_max,std_gromov_delta_max,mean_mean_K_asymmetry,std_mean_K_asymmetry,mean_geometry_quality,std_geometry_quality,mean_icosahedrality,std_icosahedrality,mean_comath_property_score,std_comath_property_score,dominant_classification,classification_counts,prop_monotone,prop_gradual,prop_local,prop_continuous,prop_symmetric,prop_cutoff,prop_resonant,prop_random_like,prop_long_range,prop_norm_family,prop_comment
anisotropic_exp,20,120,0.0,28.8,3.3105890714493698,28.8,3.3105890714493698,40.5,9.091204540653566,0.10099237712097837,0.014747123012621016,4.95,1.8020821290940099,14.8,5.201922721455981,2.789260869343723,0.4024860012440436,5.85,1.0136567466356647,1.4908756958993126,0.29863103180778133,0.40452664593364,0.02558346499302622,0.9546016265595078,0.05881336962504883,2.8516419724217967,1.0277891885851245,0.42815116633021694,0.12813901663880298,20.4,10.716342659695052,3.75,1.3369741957120937,0.7152779076935893,0.38224011552333836,0.0,0.0,0.9961344001922208,0.007232530858125499,0.5419886984586576,0.05049131323603143,1.0,0.0,ICO_CANDIDATE,ICO_CANDIDATE:20,1,1,1,1,1,0,0,0,moderate,anisotropic,unequal sigma/chi weights
power,20,120,0.0,18.55,2.7654113618049667,18.55,2.7654113618049667,22.4,7.939773296511683,0.1339819773076268,0.028393982842463153,4.3,2.0024984394500787,11.55,5.408095783175442,2.357357703188064,0.6018544182218447,4.85,1.061838029079765,1.3287684450199926,0.28151517866956954,0.4203514467327079,0.03586081187565211,0.9187472441778443,0.07795110249066961,2.4283338389410174,1.0194189065603776,0.3797254256075682,0.16800383185803744,9.45,6.5838818336905165,3.65,1.5898113095584645,0.41388303815936694,0.402734034781755,0.0,0.0,0.9866472525769201,0.020815848527172814,0.601670073574498,0.06667040886950829,1.0,0.0,ICO_CANDIDATE,ICO_CANDIDATE:20,1,1,1,1,1,0,0,0,moderate,coordinate-power,S8 agnosticity power candidate
metric_exp,20,116,17.435595774162696,31.2,3.4146742157927745,31.2,3.4146742157927745,41.65,10.460760010630203,0.08677411402027806,0.012090786037885118,6.45,2.2242976419535223,14.7,7.071774883294858,2.6313573782115625,0.5001596621947944,5.75,1.0428326807307104,1.5061725095214442,0.2875808559280573,0.41341008298476367,0.024558875644107813,0.9392896295603528,0.051737225642652165,2.5538126892826796,0.9480867299818866,0.3956976387091205,0.10815308132818313,19.35,9.089966996639756,5.1,1.6401219466856725,0.763871462010704,0.6411263907618688,0.0,0.0,0.9835923590108956,0.022857282369490743,0.5042382574693902,0.02854891162990844,1.0,0.0,ICO_CANDIDATE,GOOD_PROTO_GEOMETRY:1;ICO_CANDIDATE:19,1,1,1,1,1,0,0,0,moderate,L1,S7/S8 baseline
exp_alpha_1_0,20,116,17.435595774162696,31.2,3.4146742157927745,31.2,3.4146742157927745,41.65,10.460760010630203,0.08677411402027806,0.012090786037885118,6.45,2.2242976419535223,14.7,7.071774883294858,2.6313573782115625,0.5001596621947944,5.75,1.0428326807307104,1.5061725095214442,0.2875808559280573,0.41341008298476367,0.024558875644107813,0.9392896295603528,0.051737225642652165,2.5538126892826796,0.9480867299818866,0.3956976387091205,0.10815308132818313,19.35,9.089966996639756,5.1,1.6401219466856725,0.763871462010704,0.6411263907618688,0.0,0.0,0.9835923590108956,0.022857282369490743,0.5042382574693902,0.02854891162990844,1.0,0.0,ICO_CANDIDATE,GOOD_PROTO_GEOMETRY:1;ICO_CANDIDATE:19,1,1,1,1,1,0,0,0,moderate,L1,same as metric_exp
asymmetric,20,120,0.0,18.9,4.1340053217188775,18.9,4.1340053217188775,27.2,13.67333170810977,0.14838906675577157,0.029029209465770547,4.3,1.3820274961085253,9.75,4.877243073704652,2.70450935061633,0.9255245623507241,5.15,1.9306734576307822,1.35417860029108,0.5335280115231086,0.32278713840072293,0.018701856841802877,1.145297403537497,0.05602876991893028,2.269663235726262,0.9854507807568124,0.46362644534040415,0.19513393119039166,17.7,16.30674706984811,3.5,1.284523257866513,0.7335726834680517,0.3322322932938391,0.2777609043782947,0.03935527969650327,0.9784667906688367,0.04968017046434952,0.5883359584257427,0.06295344032097339,1.0,0.0,ICO_CANDIDATE,GOOD_PROTO_GEOMETRY:1;ICO_CANDIDATE:19,1,1,1,1,0,0,0,0,moderate,directed,directed proto-topology
linf_exp_1_0,20,120,0.0,17.6,3.7868192457522976,17.6,3.7868192457522976,25.65,12.507097984744503,0.16524525763269202,0.023975113029179814,2.65,1.2359207094308275,14.15,6.018928476066151,2.760453656026748,0.8146921267685991,5.2,1.469693845669907,1.357092341919489,0.3444413123633449,0.384658062324502,0.027577790102837934,1.0061803637428088,0.07010909272037759,2.705764429998897,0.835225876943671,0.3516510991793836,0.16108927337732934,12.1,10.843892290132727,3.1,0.7681145747868608,1.1267273904816169,0.6563418602399376,0.0,0.0,0.9779941873982795,0.03778090832714793,0.6327416904167821,0.060020502698697464,1.0,0.0,ICO_CANDIDATE,ICO_CANDIDATE:20,1,1,1,1,1,0,0,0,moderate,Linf,non-L1 norm; norm-agnosticity test
rational_p2,20,120,0.0,12.9,3.1606961258558215,12.9,3.1606961258558215,11.3,7.1070387644925646,0.14147328978211332,0.04616687027204525,5.3,1.6462077633154328,6.05,3.9175885439897846,1.6535323989735755,0.6460893597086331,3.6,1.2,1.102347811357424,0.2977266324273508,0.4374139523466669,0.06235805163344907,0.8953660431350653,0.13804399765336411,1.5027720709340422,0.7347237470657798,0.3769061835107003,0.17780087500128727,3.9,4.023679907746142,4.4,1.5297058540778354,0.25728259715761526,0.2873863202853688,0.0,0.0,0.9233025047207484,0.0821079488241211,0.5704632489646175,0.0786340686162745,1.0,0.0,ICO_CANDIDATE,GOOD_PROTO_GEOMETRY:2;ICO_CANDIDATE:18,1,1,1,1,1,0,0,0,moderate,L1,algebraic but less long-range than p1
rational_p1,20,120,0.0,19.5,3.5986108430893164,19.5,3.5986108430893164,84.65,33.46232956624509,0.4490411352419977,0.05048269152365784,1,0.0,19.5,3.5986108430893164,8.35258956120294,1.9723556161510956,11.9,2.99833287011299,1.8464319454825864,0.5314797448169494,0.3454400770688524,0.011303773259611356,1.0945835305860454,0.027199499583511182,1.7840938587462232,0.18428502689225454,0.5849074358018761,0.041786269481930594,141.3,90.09778021682887,4.55,0.6689544080129826,1.0851657019624956,0.1174122273662559,0.0,0.0,0.8801310471521162,0.05912337738753422,0.5081127014120916,0.13827388120480352,0.95,0.0,FAILED_OVERCONNECTED,FAILED_OVERCONNECTED:19;ICO_CANDIDATE:1,1,1,1,1,1,0,0,0,strong,L1,long-range algebraic tail; overconnection risk
gaussian_l2_1_0,20,120,0.0,10.35,3.08666486681013,10.35,3.08666486681013,4.85,4.174625731727336,0.08081012125129772,0.04375380839843675,6.55,1.4309088021254184,3.75,2.384848003542364,0.8143811743811744,0.5409064152777181,2.05,1.2031209415515964,0.7401389363592739,0.3841235755104397,0.45914294055027605,0.19697728755078564,0.6798915081150295,0.33102365463072403,1.0396944572447202,0.73612679270025,0.12394226144226143,0.16729033841259972,1.05,1.7168284713389395,4.95,2.0850659461993044,0.1847031971943512,0.3885958659491664,0.0,0.0,0.7209427650057781,0.2165141340567213,0.43476944456378386,0.10140973140911028,1.0,0.0,ICO_CANDIDATE,FAILED_COLLAPSE:2;FAILED_FRAGMENTED:5;GOOD_PROTO_GEOMETRY:4;ICO_CANDIDATE:8;WEAK_GEOMETRY:1,1,1,1,1,1,0,0,0,weak,L2,strong squared decay
exp_alpha_2_0,20,115.4,20.0509351402871,21.1,3.4190641994557516,21.1,3.4190641994557516,6.9,4.493328387732194,0.03121953315216668,0.018338301763118077,15.25,3.031088913245535,3.55,1.2031209415515964,0.6327754552354048,0.37856411769984794,2.45,1.16081867662439,0.7551946515183401,0.28551539056196396,0.3983536204055961,0.03997435931392298,0.9690647648015855,0.08626840530227349,1.1931472533855776,0.21108559052946949,0.08796315174037497,0.10103413525439295,1.3,2.2825424421026654,13.35,2.725344014982329,0.07510127562209536,0.12882416666220384,0.0,0.0,0.598747695563737,0.17847068080130332,0.34535150158871825,0.06100663890707041,1.0,0.0,GOOD_PROTO_GEOMETRY,FAILED_FRAGMENTED:4;GOOD_PROTO_GEOMETRY:9;WEAK_GEOMETRY:7,1,1,1,1,1,0,0,0,weak,L1,fast exponential decay; fragmentation risk
